id,F1,F2,F3,F4,F5,F6,F7
4519157822,0,28,,11,0,17210,6.6
4523371949,0,12,,5,0,14712,6.6
4521474530,0,15,0,,1,16113,6.4
4524384067,0,43,0,,1,15157,7
4436033771,0,75,0,6,0,16400,7
4475365709,1,18,0,6,1,15899,7
4493010632,1,18,1,7,1,16874,6.8
4496759358,0,16,0,3,0,15305,6.4
4443048030,0,16,0,8,0,16401,7.2
4509433346,1,13,1,5,1,,6.8
4452162573,0,20,1,6,0,,6.6
4453038156,0,33,1,7,1,,7
4515594785,1,18,1,11,1,,7.4
4524924257,0,14,0,1,1,,6.6
4516505202,1,15,1,4,0,,6.8
4482120064,0,17,0,3,0,,6.8
4523758462,1,14,1,8,0,,7.6
4503636905,0,43,0,3,1,14852,6.8
4486384947,1,21,1,11,0,16282,6.8
4457103291,0,11,0,5,0,14994,7
4472164226,1,14,,15,1,18606,7.2
4445294621,0,13,,5,0,15878,6.8
4480384157,0,17,,3,0,15773,7
4520898233,0,78,,4,2,15906,6.8
4522124566,1,33,,10,0,16515,6.8
4523978853,0,17,,4,0,15415,6.2
4507834811,1,18,,9,1,17178,7
4501319968,0,19,,9,0,17226,7
4519148589,0,105,1,13,1,17474,6.8
4484877784,0,18,0,2,1,14905,6.8
4466931235,1,22,1,10,1,18132,7
4524189570,1,17,1,6,2,16053,6.8
4503380070,0,12,0,7,0,16438,6.8
4497858921,0,15,1,4,0,15634,6.8
4509242024,1,40,0,4,0,16085,7.4
4524296550,0,24,0,6,0,14981,6.8
4516034199,0,12,0,2,1,15421,7.2
4504386463,0,20,1,4,1,15665,6.8
4523799496,0,11,0,5,1,17528,7.2
4379931850,0,18,0,3,1,15032,6.6
4523858150,0,28,0,3,0,15483,6.8
4459778854,1,36,0,12,0,19226,7.4
4499523222,1,18,0,14,1,16945,6.8
4477029310,1,12,1,3,0,15000,6.6
4525037711,0,18,1,2,1,15888,7.4
4459414345,0,41,0,0,0,12925,6.4
4505664040,1,14,1,9,0,19250,7.6
4439587692,1,19,1,5,1,18355,7
4508000311,1,15,0,2,1,13978,6.6
4513365614,0,16,0,8,0,15851,6.8
4473252742,0,14,0,5,0,16474,6.6
4438138890,1,18,0,6,0,16590,7
4467008289,1,22,1,2,2,15737,7
4492625917,1,37,1,5,0,16990,7.4
4502901044,0,14,0,2,1,15297,7
4467732013,0,16,0,4,1,15651,7
4514402510,0,17,1,7,1,15587,6.8
4521277262,1,19,1,11,1,17777,7.2
4521752962,1,,1,5,2,16426,7
4514070165,0,,0,11,0,20278,7.2
4525056568,0,,0,0,0,13791,6.6
4521255103,0,,0,5,0,16505,7
4510728488,1,,1,4,1,17277,7.2
4516919746,1,,1,10,2,18269,7.2
4499868617,0,,0,3,1,14166,6.6
4514234813,0,,0,7,0,15456,6.6
4513591449,0,,0,2,0,15180,7
4471416203,0,,1,8,1,16179,6.8
4521227315,1,,0,3,0,16026,7
4424144387,0,,1,4,0,14850,6.8
4517806218,0,,1,7,1,17347,7
4479974478,1,,1,6,0,15887,6.8
4423018162,0,,1,11,0,17399,7
4518401885,0,,1,1,1,13828,6.6
4525208730,1,,1,4,1,16645,7.2
4512774492,1,,1,8,2,16248,6.8
4522772001,0,,0,1,0,15310,7
4464439713,1,,1,7,1,16784,6.6
4479823004,1,,0,18,1,19032,7.4
4507330276,0,,0,12,0,17518,7.2
4447392049,0,,1,12,1,18976,7.4
4521089901,0,,0,10,1,16143,6.6
4427944005,0,,0,6,1,15868,7
4509784380,1,,0,7,1,17977,7
4524411421,1,,0,14,1,18138,7
4519898107,1,,0,12,2,18025,7.2
4517633575,0,,0,0,0,14625,6.8
4521948875,1,,0,7,1,15752,6.6
4509102299,1,,0,12,0,18480,7.4
4525041896,0,,0,2,1,14995,6.6
4515706467,0,,1,3,0,15655,6.4
4476006621,0,,1,2,0,15562,7.2
4499940691,1,,1,5,0,17139,7.2
4426644547,1,,1,6,0,19229,7.2
4525072812,0,,0,10,1,16972,7.2
4524217548,0,,0,6,0,16249,7
4499622849,1,,1,9,0,16415,6.8
4499844894,1,,0,10,1,18012,7.2
4460534353,1,,0,11,2,19294,7.4
4495269641,0,,0,4,1,15383,6.8
4524995677,0,,1,2,1,15777,6.6
4464596479,0,,0,4,0,14805,6.6
4452452649,0,,0,2,0,15244,6.6
4420481816,0,,0,7,1,17574,7.2
4412895789,0,,0,9,0,16655,7
4525114135,0,,0,8,1,16855,7
4496624699,1,,0,4,0,15786,6.6
4522663961,0,,0,1,0,15143,7.2
4522251387,1,,1,9,0,17309,7
4472377536,1,,0,6,1,16416,7.4
4466226469,1,,1,2,1,15222,7
4473936532,0,,0,3,2,15526,6.8
4524445302,1,,0,10,0,17597,6.4
4459740551,0,,1,17,0,16834,6.2
4463542711,1,,1,12,1,19058,7.2
4508629003,0,,1,5,2,16806,7
4475094281,1,,1,7,0,16643,6.8
4513430767,1,,1,12,1,16189,6.8
4508634893,0,,0,1,0,14095,6.8
4522792360,0,,1,7,1,16804,6.8
4507927084,0,,0,8,1,17305,7
4522505411,0,,0,2,0,14539,6.4
4454104215,1,,0,10,1,17530,7
4516166112,1,,1,10,0,18431,7.2
4454239214,0,,0,2,0,14032,6.8
4517801069,1,,1,11,1,17869,7
4518738712,1,,0,6,1,15974,6.2
4497571086,1,,0,6,1,16108,7.2
4477243448,0,,0,6,0,16302,6.8
4386507847,1,,0,6,0,16750,6.8
4474136526,1,,0,8,0,16506,7.2
4523618632,1,,1,11,1,16389,7
4507859079,1,,1,4,0,15760,7
4524740998,1,,1,4,1,15176,6.4
4512162103,0,,0,4,0,15196,6.4
4465066223,1,,0,2,1,16250,7
4523411488,1,,1,15,1,16541,6.6
4524017392,1,,1,9,1,18657,7.2
4513054107,1,,0,6,0,16873,7.2
4478629184,0,,0,3,1,14383,6.4
4395598976,0,12,1,5,0,14420,6.4
4524952056,0,87,0,4,0,14720,6.2
4453994009,1,15,1,7,0,17406,7.2
4462358723,0,15,1,2,0,15210,6.4
4512811324,1,23,0,16,0,17272,6.4
4438263187,1,18,1,15,0,19358,7.2
4483907436,1,16,0,5,1,16855,6.6
4521937261,0,16,0,4,2,15209,6.6
4515587675,1,17,1,22,0,19542,7
4517493567,0,15,1,4,0,15267,6.6
4469549199,0,15,1,3,1,15243,6.6
4500100836,0,21,0,3,0,16214,6.8
4451727242,0,70,0,12,2,15976,7
4462194525,0,18,0,10,1,16557,6.8
4481415061,0,10,0,3,0,16142,6.8
4519169394,0,15,1,9,0,17984,7.2
4449504375,1,15,0,10,2,20038,7.8
4468503240,1,91,0,13,0,19571,7.2
4495708706,0,18,1,4,0,14557,6.4
4505357300,1,16,0,5,0,16029,7
4523723534,1,18,1,,0,18053,6.6
4479157446,1,16,1,,1,18098,7
4518376722,1,13,1,,2,18343,7.2
4521259209,1,13,0,,1,15596,7
4471123041,0,54,0,,1,15812,7
4524913184,1,17,1,,0,15947,6.4
4514301047,0,35,0,,0,14997,6.6
4512184541,0,10,1,,0,16463,6.8
4517823800,0,19,1,,0,16072,6.6
4518835789,1,22,1,,1,19140,7.4
4510355472,0,19,1,,0,14547,6.4
4512067346,1,14,0,,1,15644,6.8
4514106633,0,15,1,,0,15734,7
4522399054,1,38,1,,1,16794,6.8
4519443312,0,16,0,,1,15930,6.8
4523035934,1,17,0,,0,16936,7.2
4429486916,1,18,1,,0,17941,7.2
4482052361,0,19,0,,0,13698,6.2
4522798631,1,14,1,,1,15943,7.4
4477176627,1,17,0,,1,15891,7
4475170098,0,12,0,,1,16216,7
4432091797,0,86,1,,0,14754,6.6
4495710198,1,16,1,,1,16909,7.2
4520931258,1,15,0,,0,18858,7.2
4424048842,0,22,1,,0,15952,6.8
4512915759,0,16,0,,0,13286,6.2
4476065129,0,17,0,,0,16812,7.2
4494781192,1,16,0,,2,17906,6.8
4525224702,0,15,1,,1,16408,7.2
4475925954,0,14,1,,0,15056,6.4
4516121686,0,25,1,,1,17831,6.8
4420667626,0,11,0,,0,13738,6.6
4489494110,1,25,1,,0,20317,7.4
4523340688,0,15,0,,0,14091,6.4
4496344135,0,17,0,,1,16036,6.6
4524697287,1,17,1,,1,17052,6.6
4523386766,0,14,0,,0,16354,7
4518474732,1,18,1,,1,18297,7.2
4486453937,0,17,0,,0,15748,6.6
4496397328,1,42,1,,1,17886,7.4
4520768462,0,17,0,,0,17069,6.6
4518654959,1,15,0,,1,16631,7.2
4519058321,0,12,0,,1,14766,7
4512960247,0,14,0,,0,17113,7.2
4445314635,0,13,0,,1,15120,6.6
4477030195,0,13,0,,0,15339,6.6
4497887298,0,68,0,,1,13438,5.8
4459403995,1,20,0,,0,15582,6.8
4489079383,1,16,0,,1,15441,6.6
4516695912,0,12,1,,1,16002,7.2
4490435808,0,13,1,,1,16009,6.8
4524895124,1,16,0,,0,18106,6.6
4519469738,1,35,1,,1,16501,6.6
4523527200,0,14,0,,0,15505,6.8
4453080532,1,35,0,,0,16195,7
4523303530,1,18,1,,1,20294,6.8
4495003373,0,22,0,,1,15475,7
4524303571,0,124,1,,1,16243,7
4490487724,1,18,1,,0,15065,6.6
4515381064,1,22,0,3,0,14359,6.8
4512271556,1,13,1,8,2,19377,7.4
4452824789,0,34,0,2,0,14135,6.8
4481234929,1,24,1,8,0,17448,6.8
4500668824,0,50,1,9,1,15958,6.6
4521663948,0,16,0,13,1,18287,7.2
4525067275,0,13,0,2,1,15534,7
4496503390,0,33,0,2,0,14935,7
4519912865,1,13,0,11,0,19331,7.2
4447426572,1,17,0,7,1,17131,7.4
4493407357,1,78,1,10,0,17983,7
4459426947,0,16,0,5,1,16842,7
4519988685,0,22,1,13,0,17569,6.8
4519844846,0,15,0,3,1,15882,6.8
4525070748,0,19,1,8,0,17049,6.8
4465204267,0,40,0,1,0,13556,6.8
4517684472,0,13,0,1,0,14692,7
4517646191,1,15,0,10,1,17000,6.6
4459901632,1,31,1,7,0,17200,7.2
4495413031,0,44,0,2,1,15409,7.2
4519612989,0,27,0,13,1,17283,6.4
4406716520,0,16,0,5,0,15477,6.4
4525184804,1,54,0,8,2,16763,7
4524569254,1,13,0,4,2,18434,7.4
4431143877,0,17,0,2,0,13731,6.6
4446797537,1,14,0,6,1,17251,7.4
4524403652,1,12,1,5,1,17051,7
4524260824,0,14,1,6,0,16346,7
4440119391,1,24,1,14,0,21095,7.6
4518199999,1,14,1,3,1,16434,7
4520967143,0,36,1,2,1,15834,6.8
4498216490,1,40,0,9,1,16968,7
4493677959,0,19,1,7,0,15949,6.8
4523093613,1,17,0,3,1,16056,6.8
4437257190,1,27,1,8,1,18392,6.8
4521897707,1,17,1,9,0,16415,7.2
4467164835,1,18,0,21,1,19948,7.4
4521542696,1,13,1,6,0,18189,7
4495464440,1,15,0,4,0,14398,6.6
4452038425,1,22,1,8,1,17359,7.4
4515821204,0,19,0,3,0,15817,6.8
4502922066,0,12,0,3,1,15861,7
4384241438,1,16,0,7,1,16355,7
4466040137,1,57,0,13,0,18333,7
4476661914,0,10,1,3,0,14562,6.8
4458282675,1,18,0,13,2,19677,7.6
4507871318,1,18,0,14,0,18793,7
4431970864,0,22,0,0,1,14276,6.8
4516600859,0,18,1,4,1,16808,6.8
4499806829,0,15,0,3,0,15002,6.6
4472532304,0,16,0,5,1,14354,6.4
4444232401,1,11,0,6,1,15926,7.2
4521519484,0,18,0,5,0,14742,6.6
4515353277,1,18,1,8,0,16481,6.8
4524248852,0,39,1,5,0,16307,7
4521172111,1,39,1,3,1,16569,
4517776491,1,17,1,5,0,17322,
4519368335,0,18,1,2,0,14711,
4523639973,1,21,0,3,2,16009,
4522111616,0,14,0,4,0,15102,
4521188250,0,40,0,5,0,15499,
4493154896,1,37,1,10,0,18456,
4512775669,0,13,1,5,1,15767,
4505100164,1,16,1,12,1,18890,
4439464616,0,15,1,3,0,14901,
4515793486,1,18,1,7,1,16785,
4505809782,1,37,0,15,1,18786,
4502875704,0,16,0,2,1,14727,6.6
4475734964,1,35,1,14,2,18009,7.2
4482233269,0,16,0,2,1,14526,6.8
4511770317,0,15,0,8,1,16627,6.8
4524067975,0,14,0,1,0,13075,6.4
4474977192,0,16,0,4,0,16105,6.8
4467242137,0,15,1,6,0,14782,6.8
4521516098,1,13,1,4,2,15889,7
4475861894,0,18,1,3,1,15158,6.8
4473365528,0,16,0,4,0,15073,6.8
4520554639,0,19,1,5,1,17125,7.2
4519562141,0,17,0,6,0,16377,6.6
4477654399,0,20,0,4,1,15888,7.4
4524744736,0,16,0,3,0,14414,6.8
4437489184,0,34,0,9,1,18329,7
4516668528,0,16,1,10,0,16245,6.8
4519159286,1,15,1,2,1,16120,6.8
4519850833,0,10,1,8,0,15548,6.4
4517486439,1,19,1,12,0,17432,7.2
4524983213,1,18,1,10,1,16922,6.8
4518971056,0,29,1,5,0,16142,7.2
4519735486,0,14,0,2,1,14630,6.6
4474578405,1,15,1,1,2,15131,7
4495526731,0,12,1,7,1,17697,7.2
4523588445,0,15,1,5,1,16116,7
4496025643,1,18,0,9,0,18485,7.4
4449279281,1,15,1,4,1,16980,7
4524290588,1,14,1,6,0,17066,6.8
4481379221,0,14,1,9,0,17202,6.6
4497057886,0,15,0,2,1,14702,6.6
4457248839,1,14,0,11,0,18692,7.4
4462529490,0,16,0,13,1,18549,6.8
4511728953,1,15,0,3,1,15859,7.2
4455484063,1,15,0,5,0,16044,7
4492027887,1,17,0,6,1,15941,6.8
4500738441,0,23,1,4,0,15675,6.6
4472130589,1,15,0,2,1,15682,6.8
4509440283,1,56,1,7,2,15843,6.8
4522207567,1,16,1,11,1,18248,7.4
4492532758,1,13,0,3,0,15333,7
4521901284,1,17,1,10,1,17496,7.2
4524952365,1,14,1,15,2,19809,7
4506175906,1,21,1,9,1,19329,7
4462044332,0,22,0,2,0,15600,6.2
4490186049,1,15,0,1,2,16292,7.2
4484406104,0,22,1,6,1,17677,7
4525016329,0,38,0,6,0,15141,6.8
4500061522,0,15,0,1,0,14897,7
4519405060,1,46,1,14,1,17520,7
4489107680,0,17,1,9,0,17164,7
4524853879,0,12,1,8,1,15999,6.6
4519652445,1,10,0,1,0,14542,6.8
4479492497,1,12,1,10,1,20225,6.6
4477014254,0,17,1,10,1,18203,7
4474899637,1,18,0,4,2,16787,7.2
4448166002,0,19,1,2,0,14959,6.8
4518035441,1,17,0,4,2,15132,6.8
4524924561,0,14,0,4,0,16354,7
4519402514,0,13,0,2,1,14652,6.8
4439902649,0,30,1,7,0,15331,6.8
4471437748,1,18,0,5,1,17002,7.2
4452202569,1,53,0,10,0,16308,6.8
4519983082,1,17,0,9,0,16282,6.8
4514792667,0,14,1,3,0,14110,6.4
4524404606,0,85,1,5,0,15426,7
4517159658,0,14,0,4,1,15983,6.8
4490111763,1,18,1,5,2,16801,7.2
4511615760,1,22,0,10,0,17141,7.2
4460035354,0,16,1,4,0,15122,7
4524340253,0,16,0,7,0,16878,7
4494288234,1,38,1,8,0,18274,7
4503193235,0,17,0,3,0,14176,6.8
4487544482,1,16,0,9,0,17549,7.2
4522841712,0,18,1,7,0,16049,6.6
4492447049,0,13,1,1,0,14017,6.4
4515497599,1,17,1,16,0,20139,7.8
4515307399,0,18,1,5,0,16659,7
4520027205,0,15,1,4,0,15975,6.8
4525124678,0,34,0,7,0,16728,7.2
4506399392,1,18,1,9,0,16693,7
4520037654,1,18,1,4,2,15925,6.8
4513253618,0,20,0,5,1,16763,6.8
4523092782,1,19,1,7,0,16852,6.8
4510100587,0,14,0,3,0,14950,7
4522265559,1,17,0,2,1,14863,6.8
4502459201,0,15,1,2,0,15853,7
4449297701,0,17,0,1,0,13428,6
4524992548,1,18,0,8,1,17570,7
4524182340,1,19,1,3,1,16561,7
4522266897,0,18,0,4,0,15070,6.4
4468741090,0,17,1,17,1,19190,7.2
4519229802,0,21,0,1,0,14269,6.6
